departure_airport,arrival_airport
Westchester County Airport,Nantucket Memorial Airport
Vance W. Amory International Airport,Luis Munoz Marin International Airport
Luis Munoz Marin International Airport,Clayton J Lloyd International Airport
Luis Munoz Marin International Airport,Vance W. Amory International Airport
Luis Munoz Marin International Airport,Gustaf III Airport
Teterboro Airport,Nantucket Memorial Airport
Nome Airport,Shishmaref Airport
Wales Airport,Nome Airport
Shaktoolik Airport,Koyuk Alfred Adams Airport
Elim Airport,Koyuk Alfred Adams Airport
Elim Airport,Nome Airport
Golovin Airport,Nome Airport
Golovin Airport,White Mountain Airport
Koyuk Alfred Adams Airport,Elim Airport
Koyuk Alfred Adams Airport,Shaktoolik Airport
Brevig Mission Airport,Teller Airport
Brevig Mission Airport,Wales Airport
Nome Airport,Elim Airport
Nome Airport,Golovin Airport
Nome Airport,Brevig Mission Airport
Nome Airport,Shaktoolik Airport
Nome Airport,Teller Airport
Nome Airport,Wales Airport
Nome Airport,White Mountain Airport
Shishmaref Airport,Nome Airport
Shaktoolik Airport,Nome Airport
Teller Airport,Brevig Mission Airport
Teller Airport,Nome Airport
Wales Airport,Brevig Mission Airport
White Mountain Airport,Golovin Airport
White Mountain Airport,Nome Airport
Anaktuvuk Pass Airport,Fairbanks International Airport
Fairbanks International Airport,Anaktuvuk Pass Airport
Fairbanks International Airport,Minchumina Airport
Minchumina Airport,Fairbanks International Airport
Havre St Pierre Airport,Port Menier Airport
Port Menier Airport,Havre St Pierre Airport
Port Menier Airport,Sept-Iles Airport
Sept-Iles Airport,Port Menier Airport
Elim Airport,Golovin Airport
Nome Airport,Ralph Wien Memorial Airport
Nome Airport,Unalakleet Airport
Ralph Wien Memorial Airport,Nome Airport
Hagerstown Regional Richard A Henson Field,Washington Dulles International Airport
Washington Dulles International Airport,Hagerstown Regional Richard A Henson Field
Washington Dulles International Airport,Lancaster Airport
George Bush Intercontinental Houston Airport,Victoria Regional Airport
Lancaster Airport,Washington Dulles International Airport
Victoria Regional Airport,George Bush Intercontinental Houston Airport
Hartsfield Jackson Atlanta International Airport,Ronald Reagan Washington National Airport
Hartsfield Jackson Atlanta International Airport,Raleigh Durham International Airport
Hartsfield Jackson Atlanta International Airport,Louis Armstrong New Orleans International Airport
Hartsfield Jackson Atlanta International Airport,Southwest Florida International Airport
Richmond International Airport,Hartsfield Jackson Atlanta International Airport
Detroit Metropolitan Wayne County Airport,Minneapolis-St Paul International/Wold-Chamberlain Airport
Raleigh Durham International Airport,Hartsfield Jackson Atlanta International Airport
Minneapolis-St Paul International/Wold-Chamberlain Airport,Chicago O'Hare International Airport
Ronald Reagan Washington National Airport,Minneapolis-St Paul International/Wold-Chamberlain Airport
Hartsfield Jackson Atlanta International Airport,Charlotte Douglas International Airport
Hartsfield Jackson Atlanta International Airport,Norfolk International Airport
Norfolk International Airport,Hartsfield Jackson Atlanta International Airport
St Louis Lambert International Airport,Hartsfield Jackson Atlanta International Airport
Hartsfield Jackson Atlanta International Airport,Austin Bergstrom International Airport
Hartsfield Jackson Atlanta International Airport,Buffalo Niagara International Airport
Hartsfield Jackson Atlanta International Airport,General Mitchell International Airport
Hartsfield Jackson Atlanta International Airport,Greater Rochester International Airport
Austin Bergstrom International Airport,Hartsfield Jackson Atlanta International Airport
Buffalo Niagara International Airport,Hartsfield Jackson Atlanta International Airport
Charlotte Douglas International Airport,Hartsfield Jackson Atlanta International Airport
Daytona Beach International Airport,Hartsfield Jackson Atlanta International Airport
General Mitchell International Airport,Hartsfield Jackson Atlanta International Airport
Greater Rochester International Airport,Hartsfield Jackson Atlanta International Airport
Ronald Reagan Washington National Airport,Hartsfield Jackson Atlanta International Airport
Southwest Florida International Airport,Hartsfield Jackson Atlanta International Airport
General Edward Lawrence Logan International Airport,Hartsfield Jackson Atlanta International Airport
Louis Armstrong New Orleans International Airport,Hartsfield Jackson Atlanta International Airport
Palm Beach International Airport,Hartsfield Jackson Atlanta International Airport
Hartsfield Jackson Atlanta International Airport,Daytona Beach International Airport
Hartsfield Jackson Atlanta International Airport,Palm Beach International Airport
Hartsfield Jackson Atlanta International Airport,Philadelphia International Airport
Hartsfield Jackson Atlanta International Airport,General Edward Lawrence Logan International Airport
Hartsfield Jackson Atlanta International Airport,Denver International Airport
Hartsfield Jackson Atlanta International Airport,Baltimore/Washington International Thurgood Marshall Airport
Minneapolis-St Paul International/Wold-Chamberlain Airport,McCarran International Airport
Hartsfield Jackson Atlanta International Airport,Miami International Airport
Hartsfield Jackson Atlanta International Airport,Sarasota Bradenton International Airport
Hartsfield Jackson Atlanta International Airport,San Antonio International Airport
Hartsfield Jackson Atlanta International Airport,Kansas City International Airport
Hartsfield Jackson Atlanta International Airport,St Louis Lambert International Airport
Hartsfield Jackson Atlanta International Airport,Detroit Metropolitan Wayne County Airport
Hartsfield Jackson Atlanta International Airport,Fort Lauderdale Hollywood International Airport
Minneapolis-St Paul International/Wold-Chamberlain Airport,Portland International Airport
Portland International Airport,Minneapolis-St Paul International/Wold-Chamberlain Airport
San Francisco International Airport,Minneapolis-St Paul International/Wold-Chamberlain Airport
Denver International Airport,Hartsfield Jackson Atlanta International Airport
Chongqing Jiangbei International Airport,Taiwan Taoyuan International Airport
Taiwan Taoyuan International Airport,Chongqing Jiangbei International Airport
Hartsfield Jackson Atlanta International Airport,Pensacola Regional Airport
Pensacola Regional Airport,Hartsfield Jackson Atlanta International Airport
Noi Bai International Airport,Taiwan Taoyuan International Airport
Kaohsiung International Airport,Macau International Airport
Macau International Airport,Kaohsiung International Airport
Taiwan Taoyuan International Airport,Noi Bai International Airport
Philadelphia International Airport,Hartsfield Jackson Atlanta International Airport
General Mitchell International Airport,Minneapolis-St Paul International/Wold-Chamberlain Airport
Charlotte Douglas International Airport,Detroit Metropolitan Wayne County Airport
Minneapolis-St Paul International/Wold-Chamberlain Airport,Indianapolis International Airport
Minneapolis-St Paul International/Wold-Chamberlain Airport,Phoenix Sky Harbor International Airport
Denver International Airport,Minneapolis-St Paul International/Wold-Chamberlain Airport
Indianapolis International Airport,Minneapolis-St Paul International/Wold-Chamberlain Airport
Denver International Airport,Detroit Metropolitan Wayne County Airport
Detroit Metropolitan Wayne County Airport,Palm Beach International Airport
Minneapolis-St Paul International/Wold-Chamberlain Airport,Denver International Airport
Palm Beach International Airport,Detroit Metropolitan Wayne County Airport
Philadelphia International Airport,Minneapolis-St Paul International/Wold-Chamberlain Airport
Minneapolis-St Paul International/Wold-Chamberlain Airport,St Louis Lambert International Airport
St Louis Lambert International Airport,Minneapolis-St Paul International/Wold-Chamberlain Airport
Hartsfield Jackson Atlanta International Airport,Tucson International Airport
Sarasota Bradenton International Airport,Hartsfield Jackson Atlanta International Airport
Tucson International Airport,Hartsfield Jackson Atlanta International Airport
Hartsfield Jackson Atlanta International Airport,Minneapolis-St Paul International/Wold-Chamberlain Airport
Guangzhou Baiyun International Airport,Taichung Ching Chuang Kang Airport
Changsha Huanghua International Airport,Taichung Ching Chuang Kang Airport
Fuzhou Changle International Airport,Kaohsiung International Airport
Fuzhou Changle International Airport,Taiwan Taoyuan International Airport
Noi Bai International Airport,Kaohsiung International Airport
Hangzhou Xiaoshan International Airport,Kaohsiung International Airport
Hangzhou Xiaoshan International Airport,Taichung Ching Chuang Kang Airport
Kaohsiung International Airport,Fuzhou Changle International Airport
Kaohsiung International Airport,Noi Bai International Airport
Kaohsiung International Airport,Hangzhou Xiaoshan International Airport
Kaohsiung International Airport,Kunming Changshui International Airport
Kaohsiung International Airport,Tan Son Nhat International Airport
Kaohsiung International Airport,Liuting Airport
Kunming Changshui International Airport,Kaohsiung International Airport
Ningbo Lishe International Airport,Taichung Ching Chuang Kang Airport
Nanjing Lukou Airport,Taichung Ching Chuang Kang Airport
Taichung Ching Chuang Kang Airport,Guangzhou Baiyun International Airport
Taichung Ching Chuang Kang Airport,Changsha Huanghua International Airport
Taichung Ching Chuang Kang Airport,Hangzhou Xiaoshan International Airport
Taichung Ching Chuang Kang Airport,Ningbo Lishe International Airport
Taichung Ching Chuang Kang Airport,Nanjing Lukou Airport
Taichung Ching Chuang Kang Airport,Shenzhen Bao'an International Airport
Taichung Ching Chuang Kang Airport,Xiamen Gaoqi International Airport
Tan Son Nhat International Airport,Kaohsiung International Airport
Shenzhen Bao'an International Airport,Taichung Ching Chuang Kang Airport
Liuting Airport,Kaohsiung International Airport
Taiwan Taoyuan International Airport,Fuzhou Changle International Airport
Xiamen Gaoqi International Airport,Taichung Ching Chuang Kang Airport
Guangzhou Baiyun International Airport,Kaohsiung International Airport
Zhengzhou Xinzheng International Airport,Kaohsiung International Airport
Taiping Airport,Taiwan Taoyuan International Airport
Incheon International Airport,Kaohsiung International Airport
Kaohsiung International Airport,Guangzhou Baiyun International Airport
Kaohsiung International Airport,Zhengzhou Xinzheng International Airport
Kaohsiung International Airport,Incheon International Airport
Kaohsiung International Airport,Ningbo Lishe International Airport
Kaohsiung International Airport,Yaoqiang Airport
Kaohsiung International Airport,Tianjin Binhai International Airport
Guilin Liangjiang International Airport,Taiwan Taoyuan International Airport
Macau International Airport,Taichung Ching Chuang Kang Airport
Ningbo Lishe International Airport,Kaohsiung International Airport
Okayama Airport,Taiwan Taoyuan International Airport
Phnom Penh International Airport,Taiwan Taoyuan International Airport
Taichung Ching Chuang Kang Airport,Macau International Airport
Yaoqiang Airport,Kaohsiung International Airport
Yaoqiang Airport,Taiwan Taoyuan International Airport
Taiwan Taoyuan International Airport,Taiping Airport
Taiwan Taoyuan International Airport,Guilin Liangjiang International Airport
Taiwan Taoyuan International Airport,Okayama Airport
Taiwan Taoyuan International Airport,Phnom Penh International Airport
Taiwan Taoyuan International Airport,Yaoqiang Airport
Taiwan Taoyuan International Airport,Tunxi International Airport
Tianjin Binhai International Airport,Kaohsiung International Airport
Tunxi International Airport,Taiwan Taoyuan International Airport
Minneapolis-St Paul International/Wold-Chamberlain Airport,Tucson International Airport
Tucson International Airport,Minneapolis-St Paul International/Wold-Chamberlain Airport
